=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.13 14:15:14 =~=~=~=~=~=~=~=~=~=~=~=
self test ok
3://V1_621.MPG
3://V1_300.MPG
3://V1_1730.MPG
Decoding 3://V1_621.MPG to VDMA
Decoder start. Num frames #621
Width 1280
Height 720
Num i frames 230
Payload Size 113133240
I frame index 0, position 20
2 , 1, 7872
3 , 1, 7832
4 , 1, 7868
5 , 1, 7886
6 , 0, 7909
7 , 0, 7910
8 , 0, 7899
9 , 0, 7913
10 , 0, 7898
11 , 0, 7894
12 , 0, 7902
13 , 1, 7882
14 , 1, 7858
15 , 1, 7879
16 , 0, 7940
17 , 0, 7929
18 , 0, 7954
19 , 0, 7959
20 , 0, 7893
21 , 0, 7933
22 , 0, 7957
23 , 1, 7832
24 , 1, 7873
25 , 1, 7858
26 , 1, 7873
27 , 1, 7842
28 , 1, 7872
29 , 1, 7876
30 , 1, 7892
31 , 1, 7862
32 , 1, 7857
33 , 1, 7889
34 , 1, 7827
35 , 1, 7844
36 , 1, 7906
37 , 1, 7843
38 , 1, 7902
39 , 1, 7872
40 , 1, 7916
41 , 1, 7857
42 , 1, 7912
43 , 1, 7847
44 , 0, 7900
45 , 0, 7930
46 , 0, 7908
47 , 0, 7959
48 , 1, 7852
49 , 1, 7853
50 , 1, 7960
51 , 1, 7872
52 , 1, 7853
53 , 1, 7889
54 , 1, 7912
55 , 1, 7851
56 , 1, 7883
57 , 0, 7938
58 , 1, 7858
59 , 1, 7883
60 , 1, 8372
61 , 1, 7872
62 , 1, 7877
63 , 1, 7878
64 , 1, 7888
65 , 1, 7878
66 , 1, 7906
67 , 1, 7868
68 , 1, 7877
69 , 1, 7888
70 , 1, 7867
71 , 1, 7863
72 , 1, 7881
73 , 1, 7897
74 , 1, 7852
75 , 1, 8037
76 , 0, 7954
77 , 0, 7890
78 , 0, 7943
79 , 0, 7892
80 , 0, 7914
81 , 1, 7862
82 , 1, 7857
83 , 1, 7867
84 , 1, 7903
85 , 1, 7863
86 , 1, 7866
87 , 1, 7843
88 , 1, 7842
89 , 1, 7881
90 , 1, 7882
91 , 1, 7894
92 , 1, 7879
93 , 1, 7871
94 , 0, 7943
95 , 0, 7923
96 , 0, 7893
97 , 0, 8076
98 , 0, 7859
99 , 1, 7813
100 , 1, 7827
101 , 1, 7817
102 , 1, 7865
103 , 1, 7843
104 , 1, 7822
105 , 1, 7833
106 , 1, 7878
107 , 1, 7927
108 , 1, 7877
109 , 1, 7823
110 , 1, 7832
111 , 1, 7833
112 , 1, 7838
113 , 1, 7858
